dataset = [
    {
        'question': "What is the total sales for each product?",
        'sql_query': "SELECT product, SUM(sales) AS total_sales FROM sales_table GROUP BY product;"
    },
    {
        'question': "How many orders were placed on a specific date?",
        'sql_query': "SELECT COUNT(*) AS order_count FROM orders_table WHERE date = '2023-06-17';"
    },
    {
        'question': "Find the average rating for a given product category.",
        'sql_query': "SELECT category, AVG(rating) AS average_rating FROM products_table WHERE category = 'electronics';"
    },
    {
        'question': "Retrieve all customers who made a purchase in the last 30 days.",
        'sql_query': "SELECT * FROM customers_table WHERE purchase_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY);"
    },
    {
        'question': "List the top 10 highest revenue-generating products.",
        'sql_query': "SELECT product, revenue FROM products_table ORDER BY revenue DESC LIMIT 10;"
    },
    {
        'question': "Find the total quantity sold for each product category.",
        'sql_query': "SELECT category, SUM(quantity) AS total_quantity FROM sales_table GROUP BY category;"
    },
    {
        'question': "Retrieve all active users with a subscription that expires in the next 7 days.",
        'sql_query': "SELECT * FROM users_table WHERE subscription_expiry <= DATE_ADD(CURRENT_DATE(), INTERVAL 7 DAY) AND status = 'active';"
    },
    {
        'question': "How many unique customers have made a purchase in the past month?",
        'sql_query': "SELECT COUNT(DISTINCT customer_id) AS unique_customers FROM sales_table WHERE purchase_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 MONTH);"
    },
    {
        'question': "Find the average rating for products in a specific price range.",
        'sql_query': "SELECT AVG(rating) AS average_rating FROM products_table WHERE price BETWEEN 50 AND 100;"
    },
    {
        'question': "Retrieve the order details for a specific customer.",
        'sql_query': "SELECT * FROM orders_table WHERE customer_id = 12345;"
    },
    {
        'question': "List the top 5 best-selling products in terms of quantity sold.",
        'sql_query': "SELECT product, SUM(quantity) AS total_quantity FROM sales_table GROUP BY product ORDER BY total_quantity DESC LIMIT 5;"
    },
    {
        'question': "Find the total revenue generated for a specific product.",
        'sql_query': "SELECT product, SUM(revenue) AS total_revenue FROM sales_table WHERE product = 'ABC' GROUP BY product;"
    },
    {
        'question': "Retrieve all customers who have not made a purchase in the last 90 days.",
        'sql_query': "SELECT * FROM customers_table WHERE purchase_date < DATE_SUB(CURRENT_DATE(), INTERVAL 90 DAY);"
    },
    {
        'question': "How many orders were placed by each customer?",
        'sql_query': "SELECT customer_id, COUNT(*) AS order_count FROM orders_table GROUP BY customer_id;"
    },
    {
        'question': "Find the most recent order for each customer.",
        'sql_query': "SELECT * FROM orders_table WHERE (customer_id, order_date) IN (SELECT customer_id, MAX(order_date) FROM orders_table GROUP BY customer_id);"
    },
    {
        'question': "Retrieve the products that are out of stock.",
        'sql_query': "SELECT * FROM products_table WHERE stock_quantity = 0;"
    },
    {
        'question': "List the top 3 customers with the highest total purchase amount.",
        'sql_query': "SELECT customer_id, SUM(total_amount) AS total_purchase_amount FROM orders_table GROUP BY customer_id ORDER BY total_purchase_amount DESC LIMIT 3;"
    },
    {
        'question': "Find the total revenue generated for each month in the past year.",
        'sql_query': "SELECT DATE_TRUNC('month', order_date) AS month, SUM(revenue) AS total_revenue FROM orders_table WHERE order_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 YEAR) GROUP BY month;"
    },
    {
        'question': "Retrieve all products with a price higher than the average price.",
        'sql_query': "SELECT * FROM products_table WHERE price > (SELECT AVG(price) FROM products_table);"
    },
    {
        'question': "Find the customers who made a purchase of a specific product.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE product = 'ABC';"
    },
    {
        'question': "List the top 5 most viewed products.",
        'sql_query': "SELECT product, views FROM products_table ORDER BY views DESC LIMIT 5;"
    },
    {
        'question': "Retrieve the orders that contain a specific item.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%item_name%';"
    },
    {
        'question': "Find the customers who have made purchases on consecutive days.",
        'sql_query': "SELECT DISTINCT customer_id FROM orders_table WHERE DATE_DIFF(order_date, LAG(order_date, 1) OVER (PARTITION BY customer_id ORDER BY order_date)) = 1;"
    },
    {
        'question': "Retrieve the products that were added to the catalog in the last week.",
        'sql_query': "SELECT * FROM products_table WHERE catalog_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 WEEK);"
    },
    {
        'question': "Find the customers who have made purchases in all available product categories.",
        'sql_query': "SELECT customer_id FROM sales_table GROUP BY customer_id HAVING COUNT(DISTINCT category) = (SELECT COUNT(DISTINCT category) FROM products_table);"
    },
    {
        'question': "List the top 10 highest-rated products.",
        'sql_query': "SELECT product, rating FROM products_table ORDER BY rating DESC LIMIT 10;"
    },
    {
        'question': "Find the average order value for each customer.",
        'sql_query': "SELECT customer_id, AVG(order_value) AS average_order_value FROM orders_table GROUP BY customer_id;"
    },
    {
        'question': "Retrieve all customers who have made a purchase within a specific date range.",
        'sql_query': "SELECT * FROM customers_table WHERE purchase_date BETWEEN '2023-01-01' AND '2023-12-31';"
    },
    {
        'question': "Find the orders with a total amount higher than a specified threshold.",
        'sql_query': "SELECT * FROM orders_table WHERE total_amount > 1000;"
    },
    {
        'question': "Retrieve the products that have not been sold yet.",
        'sql_query': "SELECT * FROM products_table WHERE product_id NOT IN (SELECT product_id FROM sales_table);"
    },
    {
        'question': "Find the total revenue generated by each sales representative.",
        'sql_query': "SELECT sales_rep, SUM(revenue) AS total_revenue FROM sales_table GROUP BY sales_rep;"
    },
    {
        'question': "List the orders that contain at least three different items.",
        'sql_query': "SELECT * FROM orders_table WHERE COUNT(DISTINCT items) >= 3;"
    },
    {
        'question': "Find the customers who made a purchase within a specific time period and spent more than a specified amount.",
        'sql_query': "SELECT * FROM customers_table WHERE purchase_date BETWEEN '2023-01-01' AND '2023-12-31' AND total_spent > 500;"
    },
    {
        'question': "Retrieve the products that were last restocked before a specific date.",
        'sql_query': "SELECT * FROM products_table WHERE restock_date < '2023-06-01' ORDER BY restock_date DESC LIMIT 10;"
    },
    {
        'question': "Find the average revenue per day for each month in the past year.",
        'sql_query': "SELECT DATE_TRUNC('month', order_date) AS month, AVG(revenue) AS average_revenue_per_day FROM orders_table WHERE order_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 YEAR) GROUP BY month;"
    },
    {
        'question': "Retrieve the orders placed by customers who have not made a purchase in the last 30 days.",
        'sql_query': "SELECT * FROM orders_table WHERE customer_id IN (SELECT customer_id FROM customers_table WHERE purchase_date < DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY));"
    },
    {
        'question': "List the customers who have made more than one purchase in a single day.",
        'sql_query': "SELECT customer_id, COUNT(DISTINCT DATE(order_date)) AS purchases_per_day FROM orders_table GROUP BY customer_id HAVING purchases_per_day > 1;"
    },
    {
        'question': "Find the customers who have made purchases in all months of the year.",
        'sql_query': "SELECT customer_id FROM orders_table GROUP BY customer_id HAVING COUNT(DISTINCT DATE_TRUNC('month', order_date)) = 12;"
    },
    {
        'question': "Retrieve the products that have not been restocked in the last 90 days.",
        'sql_query': "SELECT * FROM products_table WHERE restock_date < DATE_SUB(CURRENT_DATE(), INTERVAL 90 DAY);"
    },
    {
        'question': "Find the customers who made a purchase in a specific month.",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DATE_TRUNC('month', purchase_date) = '2023-05-01';"
    },
    {
        'question': "List the orders that were placed by customers who have not registered on the website.",
        'sql_query': "SELECT * FROM orders_table WHERE customer_id NOT IN (SELECT customer_id FROM customers_table);"
    },
    {
        'question': "Find the customers who have made purchases on consecutive months.",
